Customer Name,Marketer,Region,Status
Nicholas pharmaceuticals,Imran Khan,Islamabad,Developed
Nimral Laboratories,,Islamabad,Undeveloped
Noble Pharma,Aaira Khan,KPK,Developed
Novae Pharmaceuticals,Imran Khan,Islamabad,Undeveloped
Novex Pharmaceutical,Imran Khan,Islamabad,Developed
Nutrabiotics Nutritional Life Science,Imran Khan,KPK,Developed
Olive Laboratories,,Islamabad,Developed
Pak German Pharma,,KPK,Undeveloped
Panacea Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
Paramount Pharmaceuticals,Imran Khan,Islamabad,Developed
Pearl Pharmaceuticals,Imran Khan,Islamabad,Developed
Perk Pharma Pvt. Ltd,,KPK,Undeveloped
Pine Pharmaceutical,Imran Khan,Islamabad,Developed
Pivotal Pharmaceuticals (Pvt.) Ltd.,,Islamabad,Undeveloped
Poly Fine Chempharm Ltd,Hamza Ali Khan,KPK,Developed
Prays Pharmaceuticals,Imran Khan,Islamabad,Developed
Rakaposhi Pharmaceuticals (Pvt) Ltd,,KPK,Developed
Regal Pharmaceutical,Imran Khan,Islamabad,Developed
Rock Pharmaeutical,Imran Khan,KPK,Developed
Rogen pharmaceuticals,Imran Khan,Islamabad,Developed
Roryan Pharmaceuticals,,KPK,Developed
Rotex Pharma (Pvt) Ltd,Imran Khan,Islamabad,Developed
Saibins Pharmaceuticals,Imran Khan,Islamabad,Undeveloped
Salford Laboratories (Pvt.) Ltd.,,Islamabad,Undeveloped
Sawan Pharmaceutocal pvt Ltd,Imran Khan,Islamabad,Undeveloped
Saydon Pharmaeuticals,,KPK,Developed
Seraph Pharmaceuticals,Imran Khan,Islamabad,Developed
Shaigan Pharmaceuticals Pvt Ltd,Imran Khan,Islamabad,Developed
Shawan Pharmaceuticals,Imran Khan,Islamabad,Developed
Shaheen Pharmaceutical,Hamza Ali Khan,KPK,Developed
SNB Pharmaceutials Pvt Ltd,,KPK,Developed
Stanley Pharmaceuticals Pvt Ltd,Imran Khan,KPK,Developed
